Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 110, 2, 0.5560071, 0.32224348, 0.40801486, 0.77312005, 0.45306295, 0.45727965, 0.66472584, 55.88235, -0.0075785783, 0.9441624, 0.44406566, 0.21203595, 0.101876535, 0.049270563, 0.02399315, -0.23900372, -0.2685949, 3349, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 115, 1, 0.52189606, 0.31929928, 0.39620057, 0.71441287, 0.45635188, 0.44902492, 0.6593261, 56.95187, -0.006954335, 0.94162434, 0.4521202, 0.22036754, 0.10834683, 0.053743735, 0.026897732, -0.22296338, -0.2835593, 2192, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 115, 2, 0.63550377, 0.42529073, 0.50956875, 0.81050813, 0.43181804, 0.46131054, 0.6453671, 56.95187, -0.003955002, 0.9492386, 0.4617108, 0.22220992, 0.10791711, 0.052903146, 0.026184384, -0.2439247, -0.24830815, 3044, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 120, 1, 0.49670887, 0.28882673, 0.36526114, 0.70296717, 0.51597613, 0.48278287, 0.69984436, 56.417114, -0.008353848, 0.92893404, 0.45856386, 0.22003725, 0.10695157, 0.052669432, 0.026280534, -0.2307837, -0.23810343, 2284, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 120, 2, 0.64056224, 0.42264095, 0.5092683, 0.8102744, 0.4361827, 0.4694194, 0.6497077, 56.417114, -0.003908941, 0.96192896, 0.46061295, 0.22120678, 0.10723916, 0.05250325, 0.02596874, -0.24667107, -0.24564631, 3169, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 125, 1, 0.54020506, 0.29471514, 0.38136968, 0.7666473, 0.4647018, 0.44241408, 0.6814609, 57.48663, -0.009871465, 0.9441624, 0.46070236, 0.22148451, 0.10753435, 0.052726995, 0.026108565, -0.24238339, -0.24368453, 3301, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 125, 2, 0.6719626, 0.423377, 0.51946175, 0.84744143, 0.4557367, 0.47698447, 0.69184244, 59.893047, -0.0030286252, 0.9492386, 0.47185045, 0.2245594, 0.10782359, 0.05225058, 0.025562504, -0.25431904, -0.21222167, 3295, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 130, 1, 0.5620932, 0.31782717, 0.40605605, 0.8066884, 0.48036388, 0.5377855, 0.6969357, 59.625668, -0.0074685104, 0.9543147, 0.48178217, 0.23434874, 0.11512246, 0.057126336, 0.028638361, -0.24374524, -0.2323717, 3502, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 130, 2, 0.5407359, 0.24230826, 0.3346549, 0.758637, 0.46598986, 0.45884576, 0.66560924, 58.823524, -0.0062220446, 0.96192896, 0.47956452, 0.2321714, 0.113545924, 0.05613288, 0.028067863, -0.25631332, -0.22542398, 4430, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 135, 1, 0.5747584, 0.29765937, 0.39220253, 0.80275595, 0.42057857, 0.49122053, 0.6478574, 58.288773, -0.0063243494, 0.97715735, 0.4643456, 0.22493203, 0.110032424, 0.054369736, 0.027141849, -0.26046947, -0.2513422, 2558, 
