Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 1, 0.4965197, 0.49422634, 0.49537036, 0.60034776, 0.53409255, 0.5787839, 0.61287946, 61.176468, -0.015332416, 0.7395833, 0.52898276, 0.32098314, 0.20931625, 0.14713624, 0.11100223, -0.25989097, -0.3940228, 16, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 2, 0.5415677, 0.5265589, 0.53395784, 0.6468725, 0.5731159, 0.5754276, 0.6308718, 63.529408, -0.014552345, 0.78125, 0.51712835, 0.3083982, 0.19913994, 0.13971958, 0.10587202, -0.27954096, -0.3741935, 16, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 15, 1, 0.58932716, 0.5866051, 0.587963, 0.69528234, 0.59372056, 0.7662696, 0.68467647, 67.05882, 0.0010866347, 0.84375, 0.48282108, 0.28642893, 0.18159048, 0.12444752, 0.092470326, -0.3017713, -0.43937597, 29, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 15, 2, 0.47328246, 0.57274824, 0.5182863, 0.5604325, 0.46419218, 0.7420424, 0.5252237, 60.000004, -0.0016392773, 0.8854167, 0.37073487, 0.19459668, 0.10328277, 0.055412274, 0.0300378, -0.27931726, -0.47954148, 30, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 20, 1, 0.38410595, 0.53579676, 0.44744456, 0.49627477, 0.36036035, 0.6940652, 0.45561847, 47.058823, -0.0023978248, 0.8645833, 0.3593462, 0.21548203, 0.1408882, 0.10111201, 0.079092585, -0.22770445, -0.5614559, 39, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 20, 2, 0.4721689, 0.5681293, 0.5157232, 0.5382277, 0.5526603, 0.66545206, 0.6270342, 61.176468, -0.0018494736, 0.8645833, 0.4668004, 0.3021415, 0.21499397, 0.16727237, 0.13987692, -0.26508158, -0.5154937, 39, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 25, 1, 0.3812825, 0.50808316, 0.43564355, 0.5046216, 0.31517306, 0.5962966, 0.38896164, 49.411762, -0.002021479, 0.8333333, 0.34749195, 0.20194076, 0.12934372, 0.09239303, 0.07293294, -0.2382758, -0.5395461, 49, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 25, 2, 0.32058048, 0.5612009, 0.40806046, 0.4847185, 0.34485918, 0.6777388, 0.40555355, 42.35294, -0.0036322458, 0.8020833, 0.30742493, 0.17996399, 0.11748075, 0.086064085, 0.06958576, -0.19452752, -0.5814405, 41, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 30, 1, 0.5085066, 0.6212471, 0.55925155, 0.616572, 0.4173246, 0.7460345, 0.49570855, 62.352943, -8.2798343E-4, 0.875, 0.36399797, 0.2194605, 0.14337036, 0.102429986, 0.07970135, -0.27270016, -0.5738839, 59, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 30, 2, 0.43872115, 0.5704388, 0.49598396, 0.5325636, 0.45022163, 0.6399222, 0.5009495, 61.176468, -0.00900021, 0.8541667, 0.4055798, 0.24413805, 0.15829341, 0.11161298, 0.08543997, -0.2497144, -0.5290318, 49, 
