Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
92, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5877915, 0.12615928, 0.20773241, 0.7815118, 0.38430318, 0.20596918, 0.5286589, 55.88235, -0.012528891, 0.5964467, 0.4890392, 0.33583793, 0.23235476, 0.16196585, 0.11374609, -0.36905232, -0.4825795, 2028, 
93, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5876646, 0.12483439, 0.2059252, 0.78180796, 0.38768068, 0.20291255, 0.53307164, 55.3476, -0.011433822, 0.6040609, 0.49082285, 0.33679736, 0.23279665, 0.16209903, 0.113707304, -0.3701887, -0.48021343, 2048, 
94, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5740072, 0.11703224, 0.19442406, 0.77555877, 0.39378214, 0.2024448, 0.5376599, 55.08021, -0.011129249, 0.6040609, 0.4938673, 0.33956125, 0.23515101, 0.16402793, 0.11524742, -0.37401998, -0.47996593, 2070, 
95, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5646711, 0.11246872, 0.18757671, 0.7695114, 0.4003306, 0.2021712, 0.54276854, 55.08021, -0.011572217, 0.5837563, 0.4900034, 0.33781782, 0.23456633, 0.16404326, 0.11554486, -0.37318462, -0.48479533, 2092, 
96, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5634744, 0.11173267, 0.1864865, 0.76873213, 0.39566028, 0.2020007, 0.5368209, 54.812836, -0.012005591, 0.5812183, 0.4849783, 0.33438456, 0.23218928, 0.16237657, 0.11436254, -0.37408417, -0.4874236, 2112, 
97, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5720721, 0.112174295, 0.18756923, 0.7742964, 0.39928877, 0.20317373, 0.5405241, 55.08021, -0.013865794, 0.5609137, 0.48779196, 0.33692715, 0.23442279, 0.16429453, 0.11597979, -0.3753168, -0.4870182, 2139, 
98, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.57488656, 0.11187988, 0.18730746, 0.77405167, 0.39431548, 0.20309101, 0.53448445, 55.08021, -0.014287742, 0.5431472, 0.48264492, 0.33324596, 0.23177183, 0.16237508, 0.11458402, -0.37670657, -0.48957685, 2156, 
99, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.58250195, 0.11173267, 0.1875, 0.7734173, 0.374216, 0.19771466, 0.51477766, 54.812836, -0.013984467, 0.53807104, 0.47265336, 0.32752448, 0.2285554, 0.16061294, 0.113654524, -0.3782201, -0.49879566, 2181, 
100, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.58702534, 0.109230086, 0.18418765, 0.7767108, 0.37461966, 0.19017836, 0.5190518, 54.278076, -0.016012926, 0.5406091, 0.47535583, 0.32974854, 0.23032582, 0.16198751, 0.114700824, -0.37897822, -0.4978934, 1830, 
101, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5925926, 0.10834683, 0.18319851, 0.7806997, 0.37434444, 0.19107859, 0.51861435, 54.010696, -0.016234431, 0.5329949, 0.4786308, 0.33284658, 0.23307644, 0.16433735, 0.116657995, -0.38148004, -0.49792472, 1847, 
102, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5954323, 0.10746357, 0.18206759, 0.78191596, 0.37044102, 0.19086674, 0.5208221, 53.743317, -0.016200684, 0.52791876, 0.48063645, 0.33414793, 0.23389538, 0.1648333, 0.1169426, -0.38264638, -0.49631372, 1864, 
103, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.59591836, 0.10746357, 0.18209031, 0.7819012, 0.3668445, 0.19086674, 0.5079986, 53.743317, -0.016200684, 0.52791876, 0.47018465, 0.32745627, 0.22957022, 0.16200882, 0.11507776, -0.3827774, -0.50403255, 1881, 
104, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5983539, 0.107021935, 0.18156844, 0.7820423, 0.36395818, 0.18817855, 0.50927746, 53.743317, -0.015959349, 0.5101523, 0.47202885, 0.32851127, 0.23013304, 0.16227311, 0.115167566, -0.38417566, -0.50203925, 1900, 
105, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5973597, 0.1065803, 0.18088692, 0.7815027, 0.3604919, 0.18805449, 0.5044272, 53.47594, -0.015195635, 0.5101523, 0.46867067, 0.32692364, 0.22951132, 0.16215315, 0.11528719, -0.3849307, -0.5063462, 1918, 
106, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5872093, 0.10407773, 0.1768163, 0.775724, 0.35243326, 0.18415126, 0.49742416, 52.406418, -0.016035168, 0.52538073, 0.46992707, 0.3272357, 0.22935799, 0.16179761, 0.1148696, -0.3852756, -0.5039755, 1935, 
107, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5936188, 0.10407773, 0.1771042, 0.7841912, 0.3502692, 0.18415126, 0.49390504, 52.406418, -0.015742103, 0.52284265, 0.4656971, 0.32441312, 0.22747183, 0.16053532, 0.11402344, -0.38655365, -0.5060214, 1954, 
108, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5946173, 0.10407773, 0.17714858, 0.78416455, 0.35319886, 0.18415126, 0.4905664, 52.406418, -0.015140313, 0.52284265, 0.46176937, 0.32186905, 0.22577822, 0.15937823, 0.1132142, -0.38694376, -0.50896406, 1971, 
109, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5877342, 0.10157515, 0.17321451, 0.7797029, 0.3574861, 0.17326622, 0.49359336, 51.87166, -0.014458877, 0.50507617, 0.46516773, 0.32513973, 0.22870384, 0.16188231, 0.11529582, -0.38803568, -0.5093368, 1997, 
110, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6171171, 0.1008391, 0.1733519, 0.79833704, 0.36123714, 0.17701569, 0.49679777, 52.406418, -0.015209166, 0.49238577, 0.46732432, 0.3266998, 0.22983731, 0.16270731, 0.11589615, -0.3952761, -0.5081067, 2414, 
111, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.62752295, 0.10069189, 0.173538, 0.8010585, 0.36359936, 0.17677051, 0.50012326, 52.673794, -0.014174093, 0.4720812, 0.4699085, 0.32881427, 0.23149794, 0.16397701, 0.11684887, -0.39924532, -0.5077703, 2438, 
112, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6312849, 0.099808626, 0.17236556, 0.80095, 0.36837444, 0.1746436, 0.5043437, 52.406418, -0.013217972, 0.46700507, 0.4748266, 0.3349807, 0.23843308, 0.17138152, 0.124534294, -0.40298435, -0.5100835, 2459, 
113, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.63414633, 0.09951421, 0.17203209, 0.80133224, 0.3730791, 0.1745754, 0.508435, 52.406418, -0.013788412, 0.45177665, 0.4772954, 0.33698574, 0.2399904, 0.17255066, 0.12538679, -0.4044661, -0.5095891, 2479, 
114, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.63336474, 0.09892537, 0.171123, 0.80086714, 0.3785784, 0.1745401, 0.50836104, 52.406418, -0.014400644, 0.45177665, 0.4738054, 0.33502376, 0.23895045, 0.17205329, 0.12519716, -0.40485758, -0.51273715, 2501, 
115, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6315789, 0.09715884, 0.16841032, 0.8016458, 0.3807322, 0.17343725, 0.5093863, 52.406418, -0.014806586, 0.4467005, 0.4700108, 0.33258522, 0.23739208, 0.17106259, 0.12456956, -0.40513754, -0.51493174, 2523, 
116, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6355685, 0.096275575, 0.16722065, 0.8014119, 0.3779084, 0.17211334, 0.51159185, 52.139038, -0.015570754, 0.44162437, 0.47248623, 0.33465478, 0.23907578, 0.17240424, 0.12562059, -0.40644997, -0.5141295, 2545, 
117, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6382353, 0.09583395, 0.16664533, 0.80554193, 0.37980664, 0.17183763, 0.5123475, 51.87166, -0.01572305, 0.42639595, 0.4740621, 0.335488, 0.23946603, 0.17253652, 0.12560801, -0.4074462, -0.5124511, 2566, 
118, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6455078, 0.09730605, 0.16911858, 0.8121613, 0.3756463, 0.17275666, 0.507064, 52.139038, -0.014349619, 0.44162437, 0.46708065, 0.3329333, 0.23959634, 0.17426187, 0.12824553, -0.40796652, -0.52181566, 2598, 
119, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.64896756, 0.09715884, 0.16901408, 0.8135232, 0.37417027, 0.17272255, 0.5039514, 52.406418, -0.0152732, 0.4390863, 0.4632148, 0.3302112, 0.23765561, 0.17285977, 0.12721802, -0.40820667, -0.5235145, 2166, 
120, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6547264, 0.09686442, 0.16876122, 0.8140825, 0.37549666, 0.17128888, 0.5068629, 52.406418, -0.015874775, 0.42131978, 0.46536005, 0.33178017, 0.23877971, 0.17364761, 0.12775597, -0.40946364, -0.52224463, 2183, 
121, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6506024, 0.09539232, 0.1663885, 0.8105951, 0.3662409, 0.17110302, 0.49674186, 51.87166, -0.016655795, 0.4035533, 0.46170628, 0.32927534, 0.23702484, 0.1723905, 0.12683515, -0.40962732, -0.52393514, 2202, 
122, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6575481, 0.095539525, 0.16683805, 0.8164668, 0.37231386, 0.17199907, 0.4996959, 52.139038, -0.016661357, 0.40101522, 0.46341026, 0.33023855, 0.2375178, 0.17259277, 0.1268637, -0.410903, -0.5225159, 2219, 
123, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.6565041, 0.09509789, 0.16613089, 0.81590724, 0.36928695, 0.17075838, 0.4956334, 51.87166, -0.016661357, 0.40101522, 0.45989758, 0.32789737, 0.2359343, 0.17150207, 0.12609576, -0.41131857, -0.5253703, 2236, 
